REGION_NAME,STATE/REGION,NAICS,NAICS_LDESC,LEVEL,YEAR,GDP,EST_POP
Alaska,AK,213,Support activities for mining,3,2010,1674300000.0,713982
Alaska,AK,22,Utilities,2,2010,656700000.0,713982
Alaska,AK,23,Construction,2,2010,2129500000.0,713982
Alaska,AK,31-33,Manufacturing,2,2010,1107700000.0,713982
Alaska,AK,"321,327-339",Durable goods manufacturing,0,2010,174800000.0,713982
Alaska,AK,321,Wood product manufacturing,3,2010,12800000.0,713982
Alaska,AK,327,Nonmetallic mineral product manufacturing,3,2010,49400000.0,713982
Alaska,AK,331,Primary metal manufacturing,3,2010,3500000.0,713982
Alaska,AK,332,Fabricated metal product manufacturing,3,2010,35700000.0,713982
Alaska,AK,333,Machinery manufacturing,3,2010,11700000.0,713982
Alaska,AK,334,Computer and electronic product manufacturing,3,2010,14000000.0,713982
Alaska,AK,335,"Electrical equipment, appliance, and component manufacturing",3,2010,2900000.0,713982
Alaska,AK,3361-3363,"Motor vehicles, bodies and trailers, and parts manufacturing",4,2010,3400000.0,713982
Alaska,AK,"3364-3466,3369",Other transportation equipment manufacturing,4,2010,23500000.0,713982
Alaska,AK,337,Furniture and related product manufacturing,3,2010,7700000.0,713982
Alaska,AK,339,Miscellaneous manufacturing,3,2010,10100000.0,713982
Alaska,AK,"311-316,322-326",Nondurable goods manufacturing,0,2010,932900000.0,713982
Alaska,AK,311-312,Food and beverage and tobacco product manufacturing,3,2010,574100000.0,713982
Alaska,AK,313-314,Textile mills and textile product mills,3,2010,3800000.0,713982
Alaska,AK,315-316,"Apparel, leather, and allied product manufacturing",3,2010,300000.0,713982
Alaska,AK,322,Paper manufacturing,3,2010,1100000.0,713982
Alaska,AK,323,Printing and related support activities,3,2010,22500000.0,713982
Alaska,AK,324,Petroleum and coal products manufacturing,3,2010,310200000.0,713982
Alaska,AK,325,Chemical manufacturing,3,2010,8000000.0,713982
Alaska,AK,326,Plastics and rubber products manufacturing,3,2010,12800000.0,713982
Alaska,AK,42,Wholesale trade,2,2010,1106900000.0,713982
Alaska,AK,44-45,Retail trade,2,2010,2028900000.0,713982
Alaska,AK,48-49,Transportation and warehousing,2,2010,5486200000.0,713982
Alaska,AK,481,Air transportation,3,2010,658600000.0,713982
