YEAR,STATE/REGION,GDP_EXP_SUM,REGION_NAME,NAICS,NAICS_LDESC,LEVEL,GDP,EST_POP_x,EST_POP_y
2012,KS,11683937630,Kansas,..0,All industry total,1,141812100000.0,2886024,2886024
2012,KY,22131550324,Kentucky,..0,All industry total,1,178370600000.0,4387865,4387865
2012,LA,62868766110,Louisiana,..0,All industry total,1,235960900000.0,4602067,4602067
2012,MA,25613948758,Massachusetts,..0,All industry total,1,441373900000.0,6664269,6664269
2012,MD,11745126175,Maryland,..0,All industry total,1,331869000000.0,5888375,5888375
2012,ME,3047876076,Maine,..0,All industry total,1,54018500000.0,1328094,1328094
2012,MI,57051460900,Michigan,..0,All industry total,1,426141100000.0,9898289,9898289
2012,MN,20826551885,Minnesota,..0,All industry total,1,298641400000.0,5377500,5377500
2012,MO,13903241672,Missouri,..0,All industry total,1,272482400000.00003,6026027,6026027
2012,MS,11793765943,Mississippi,..0,All industry total,1,100905400000.0,2984599,2984599
2012,MT,1575986341,Montana,..0,All industry total,1,42150200000.0,1004168,1004168
2012,NC,28838731833,North Carolina,..0,All industry total,1,444063200000.0,9751810,9751810
2012,ND,4310298012,North Dakota,..0,All industry total,1,52079100000.0,702227,702227
2012,NE,7454953988,Nebraska,..0,All industry total,1,102949700000.0,1853691,1853691
2012,NH,3487646930,New Hampshire,..0,All industry total,1,68412000000.0,1324677,1324677
2012,NJ,37285604108,New Jersey,..0,All industry total,1,516098200000.0,8845671,8845671
2012,NM,2957808347,New Mexico,..0,All industry total,1,87681000000.0,2087715,2087715
2012,NV,10261239230,Nevada,..0,All industry total,1,130238200000.0,2744670,2744670
2012,NY,81337507054,New York,..0,All industry total,1,1324471300000.0,19574362,19574362
2012,OH,48818903140,Ohio,..0,All industry total,1,543035400000.0,11550971,11550971
2012,OK,6578543474,Oklahoma,..0,All industry total,1,175361200000.0,3819320,3819320
2012,OR,18387857493,Oregon,..0,All industry total,1,173856800000.0,3900102,3900102
2012,PA,38851915248,Pennsylvania,..0,All industry total,1,646434300000.0,12769123,12769123
2012,RI,2365686090,Rhode Island,..0,All industry total,1,51527500000.0,1054893,1054893
2012,SC,25115454630,South Carolina,..0,All industry total,1,178503900000.0,4719027,4719027
2012,SD,1557347169,South Dakota,..0,All industry total,1,44127300000.0,833859,833859
2012,TN,31142980349,Tennessee,..0,All industry total,1,285897500000.0,6455752,6455752
2012,TX,264664928203,Texas,..0,All industry total,1,1429588000000.0,26084120,26084120
2012,UT,19259911881,Utah,..0,All industry total,1,129431400000.0,2854146,2854146
2012,VA,18276950734,Virginia,..0,All industry total,1,445008500000.0,8187456,8187456
2012,VT,4139192306,Vermont,..0,All industry total,1,29325600000.0,626361,626361
2012,WA,75654307226,Washington,..0,All industry total,1,398358500000.0,6898599,6898599
2012,WI,23118995133,Wisconsin,..0,All industry total,1,276253400000.0,5720825,5720825
2012,WV,11407152053,West Virginia,..0,All industry total,1,70303100000.0,1857446,1857446
2012,WY,1439194146,Wyoming,..0,All industry total,1,38679300000.0,576656,576656
2013,AK,4527821865,Alaska,..0,All industry total,1,57533000000.0,737626,737626
2013,AL,19301321716,Alabama,..0,All industry total,1,193981500000.0,4831586,4831586
2013,AR,7160838005,Arkansas,..0,All industry total,1,114021100000.0,2960459,2960459
2013,AZ,19478291051,Arizona,..0,All industry total,1,278679500000.0,6634690,6634690
2013,CA,168191551560,California,..0,All industry total,1,2223300900000.0,38253768,38253768
2013,CO,8545014991,Colorado,..0,All industry total,1,291265300000.0,5270774,5270774
2013,CT,16426678593,Connecticut,..0,All industry total,1,240549200000.0,3595792,3595792
2013,DE,5327267160,Delaware,..0,All industry total,1,62058200000.0,924062,924062
2013,FL,60482238924,Florida,..0,All industry total,1,819679800000.0,19551678,19551678
2013,GA,37578244152,Georgia,..0,All industry total,1,467559500000.0,9975592,9975592
2013,HI,598738461,Hawaii,..0,All industry total,1,74598500000.0,1408822,1408822
2013,IA,13903372889,Iowa,..0,All industry total,1,162415000000.0,3093935,3093935
2013,ID,5789446916,Idaho,..0,All industry total,1,61712600000.0,1612053,1612053
2013,IL,66212888783,Illinois,..0,All industry total,1,742890900000.0,12895778,12895778
2013,IN,34216019331,Indiana,..0,All industry total,1,313466900000.0,6570575,6570575
