STATE/REGION,EXPORT_VAL,EXP_NAICS,EXP_NAICS_DESC,YEAR,EXP_LEVEL,GDP_CODE
AR,1461698,114,"FISH, FRESH, CHILLED, OR FROZEN AND OTHER MARINE PRODUCTS",2013,3,113-115
AR,1461698,1141,"FISH, FRESH, CHILLED OR FROZEN AND OTHER MARINE PRODUCTS",2013,4,113-115
AR,3007840,21,"OIL, GAS, MINERALS AND ORES",2013,2,21
AR,11649611,93,USED OR SECOND-HAND MERCHANDISE,2013,2,NA
AR,2595164,3141,TEXTILE FURNISHINGS,2013,4,313-314
AR,38696469,3231,"PRINTED MATTER AND RELATED PRODUCT, NESOI",2013,4,323
AR,6022132,3279,OTHER NONMETALLIC MINERAL PRODUCTS,2013,4,327
AR,156023744,3331,AGRICULTURE AND CONSTRUCTION  MACHINERY,2013,4,333
AR,15630113,3332,INDUSTRIAL MACHINERY,2013,4,333
AR,2245849676,336,TRANSPORTATION EQUIPMENT,2013,3,NA
AR,3510962,3149,OTHER TEXTILE PRODUCTS,2013,4,313-314
AR,26128066,324,PETROLEUM AND COAL PRODUCTS,2013,3,324
AR,26128066,3241,PETROLEUM AND COAL PRODUCTS,2013,4,324
AR,4263276492,33,"MANUFACTURING, PART 3",2013,2,31-33
AR,21782273,3333,COMMERCIAL AND SERVICE INDUSTRY MACHINERY,2013,4,333
AR,3629889,3361,MOTOR VEHICLES,2013,4,3361-3363
AR,137249,98,GOODS RETURNED TO CANADA (EXPORTS ONLY); U.S. GOODS RETURNED AND REIMPORTED ITEMS (IMPORTS ONLY),2013,2,NA
AR,45641560,315,APPAREL AND ACCESSORIES,2013,3,315-316
AR,825038579,325,CHEMICALS,2013,3,325
AR,485782823,331,PRIMARY METAL MANUFACTURING,2013,3,331
AR,105252601,3334,"VENTILATION, HEATING, AIR-CONDITIONING, AND COMMERCIAL REFRIGERATION EQUIPMENT",2013,4,333
AR,117558291,3362,MOTOR VEHICLE BODIES AND TRAILERS,2013,4,3361-3363
AR,38736728,3151,KNIT APPAREL,2013,4,315-316
AR,6445213,3152,APPAREL,2013,4,315-316
AR,477749834,3251,BASIC CHEMICALS,2013,4,325
AR,55016333,3335,METALWORKING MACHINERY,2013,4,333
AR,101743853,3363,MOTOR VEHICLE PARTS,2013,4,3361-3363
AR,43827444,99,OTHER SPECIAL CLASSIFICATION PROVISIONS,2013,2,NA
AR,459619,3159,APPAREL ACCESSORIES,2013,4,315-316
AR,143889264,3252,"RESIN, SYNTHETIC RUBBER, & ARTIFICIAL & SYNTHETIC FIBERS & FILIMENT",2013,4,325
AR,12102392,3312,STEEL PRODUCTS FROM PURCHASED STEEL,2013,4,331
AR,63071755,3336,"ENGINES, TURBINES, AND POWER TRANSMISSION EQUIPMENT",2013,4,333
AR,1969853235,3364,AEROSPACE PRODUCTS AND PARTS,2013,4,NA
AR,3881952,316,LEATHER AND ALLIED PRODUCTS,2013,3,315-316
AR,37086685,3253,"PESTICIDES, FERTILIZERS AND OTHER AGRICULTURAL CHEMICALS",2013,4,325
