YEAR,STATE/REGION,GDP_IMP_SUM,REGION_NAME,NAICS,NAICS_LDESC,LEVEL,GDP,EST_POP_x,EST_POP_y
2011,SC,33842019108,South Carolina,..0,All industry total,1,172844700000.0,4672655,4672655
2011,SD,845251861,South Dakota,..0,All industry total,1,42082700000.0,823740,823740
2011,TN,55215395051,Tennessee,..0,All industry total,1,270055000000.0,6400298,6400298
2011,TX,318790623276,Texas,..0,All industry total,1,1351776900000.0,25645504,25645504
2011,UT,11114063655,Utah,..0,All industry total,1,125137800000.0,2814797,2814797
2011,VA,21474398563,Virginia,..0,All industry total,1,433683700000.0,8102437,8102437
2011,VT,4136933427,Vermont,..0,All industry total,1,28558500000.0,627197,627197
2011,WA,46684716138,Washington,..0,All industry total,1,377518800000.0,6827479,6827479
2011,WI,21922514015,Wisconsin,..0,All industry total,1,265444000000.0,5705840,5705840
2011,WV,3478678637,West Virginia,..0,All industry total,1,69367600000.0,1856606,1856606
2011,WY,1937329530,Wyoming,..0,All industry total,1,39615100000.0,567491,567491
2012,AK,2105287597,Alaska,..0,All industry total,1,58320700000.0,730810,730810
2012,AL,18337957524,Alabama,..0,All industry total,1,188280700000.0,4816632,4816632
2012,AR,7413217218,Arkansas,..0,All industry total,1,108836000000.0,2952876,2952876
2012,AZ,18948129296,Arizona,..0,All industry total,1,272703300000.0,6556344,6556344
2012,CA,376487234143,California,..0,All industry total,1,2108873100000.0,37944551,37944551
2012,CO,12649122371,Colorado,..0,All industry total,1,274738800000.0,5193660,5193660
2012,CT,21503350758,Connecticut,..0,All industry total,1,239907500000.0,3595211,3595211
2012,DE,13556287080,Delaware,..0,All industry total,1,62342100000.0,915518,915518
2012,FL,71222393305,Florida,..0,All industry total,1,784545900000.0,19302016,19302016
2012,GA,72449106626,Georgia,..0,All industry total,1,449375600000.0,9903580,9903580
2012,HI,6661883008,Hawaii,..0,All industry total,1,71645600000.0,1395199,1395199
2012,IA,9432393394,Iowa,..0,All industry total,1,158553100000.0,3076844,3076844
2012,ID,5148126369,Idaho,..0,All industry total,1,57933700000.0,1595910,1595910
2012,IL,126405072973,Illinois,..0,All industry total,1,725478000000.0,12883029,12883029
2012,IN,43277846831,Indiana,..0,All industry total,1,301277400000.0,6538989,6538989
2012,KS,10872675723,Kansas,..0,All industry total,1,141812100000.0,2886024,2886024
2012,KY,34724857475,Kentucky,..0,All industry total,1,178370600000.0,4387865,4387865
2012,LA,80813125672,Louisiana,..0,All industry total,1,235960900000.0,4602067,4602067
2012,MA,32957595940,Massachusetts,..0,All industry total,1,441373900000.0,6664269,6664269
2012,MD,25081883073,Maryland,..0,All industry total,1,331869000000.0,5888375,5888375
2012,ME,3775864119,Maine,..0,All industry total,1,54018500000.0,1328094,1328094
2012,MI,116220311134,Michigan,..0,All industry total,1,426141100000.0,9898289,9898289
2012,MN,32871466095,Minnesota,..0,All industry total,1,298641400000.0,5377500,5377500
2012,MO,16501631083,Missouri,..0,All industry total,1,272482400000.00003,6026027,6026027
2012,MS,20666152558,Mississippi,..0,All industry total,1,100905400000.0,2984599,2984599
2012,MT,5592916500,Montana,..0,All industry total,1,42150200000.0,1004168,1004168
2012,NC,49579760387,North Carolina,..0,All industry total,1,444063200000.0,9751810,9751810
2012,ND,3906721030,North Dakota,..0,All industry total,1,52079100000.0,702227,702227
2012,NE,3575941920,Nebraska,..0,All industry total,1,102949700000.0,1853691,1853691
2012,NH,12225388751,New Hampshire,..0,All industry total,1,68412000000.0,1324677,1324677
2012,NJ,120863295690,New Jersey,..0,All industry total,1,516098200000.0,8845671,8845671
2012,NM,2325753564,New Mexico,..0,All industry total,1,87681000000.0,2087715,2087715
2012,NV,8331002530,Nevada,..0,All industry total,1,130238200000.0,2744670,2744670
2012,NY,124434442586,New York,..0,All industry total,1,1324471300000.0,19574362,19574362
2012,OH,64143181153,Ohio,..0,All industry total,1,543035400000.0,11550971,11550971
2012,OK,11419204829,Oklahoma,..0,All industry total,1,175361200000.0,3819320,3819320
2012,OR,16570698537,Oregon,..0,All industry total,1,173856800000.0,3900102,3900102
2012,PA,80771587834,Pennsylvania,..0,All industry total,1,646434300000.0,12769123,12769123
2012,RI,9459793267,Rhode Island,..0,All industry total,1,51527500000.0,1054893,1054893
2012,SC,35600518307,South Carolina,..0,All industry total,1,178503900000.0,4719027,4719027
2012,SD,953735419,South Dakota,..0,All industry total,1,44127300000.0,833859,833859
2012,TN,61484288586,Tennessee,..0,All industry total,1,285897500000.0,6455752,6455752
2012,TX,330294880853,Texas,..0,All industry total,1,1429588000000.0,26084120,26084120
2012,UT,11150304251,Utah,..0,All industry total,1,129431400000.0,2854146,2854146
2012,VA,21866535223,Virginia,..0,All industry total,1,445008500000.0,8187456,8187456
2012,VT,4350811888,Vermont,..0,All industry total,1,29325600000.0,626361,626361
2012,WA,47627199440,Washington,..0,All industry total,1,398358500000.0,6898599,6898599
2012,WI,23197698390,Wisconsin,..0,All industry total,1,276253400000.0,5720825,5720825
2012,WV,3808933458,West Virginia,..0,All industry total,1,70303100000.0,1857446,1857446
2012,WY,2005071628,Wyoming,..0,All industry total,1,38679300000.0,576656,576656
2013,AK,1480639894,Alaska,..0,All industry total,1,57533000000.0,737626,737626
2013,AL,18940757351,Alabama,..0,All industry total,1,193981500000.0,4831586,4831586
2013,AR,7621331792,Arkansas,..0,All industry total,1,114021100000.0,2960459,2960459
2013,AZ,19023999012,Arizona,..0,All industry total,1,278679500000.0,6634690,6634690
2013,CA,381068945314,California,..0,All industry total,1,2223300900000.0,38253768,38253768
2013,CO,12820798461,Colorado,..0,All industry total,1,291265300000.0,5270774,5270774
2013,CT,21563731012,Connecticut,..0,All industry total,1,240549200000.0,3595792,3595792
2013,DE,10132236064,Delaware,..0,All industry total,1,62058200000.0,924062,924062
2013,FL,72258291850,Florida,..0,All industry total,1,819679800000.0,19551678,19551678
2013,GA,75023079958,Georgia,..0,All industry total,1,467559500000.0,9975592,9975592
2013,HI,6097336078,Hawaii,..0,All industry total,1,74598500000.0,1408822,1408822
2013,IA,9570131967,Iowa,..0,All industry total,1,162415000000.0,3093935,3093935
2013,ID,5544759634,Idaho,..0,All industry total,1,61712600000.0,1612053,1612053
2013,IL,124766206026,Illinois,..0,All industry total,1,742890900000.0,12895778,12895778
2013,IN,45677673895,Indiana,..0,All industry total,1,313466900000.0,6570575,6570575
2013,KS,10756377542,Kansas,..0,All industry total,1,144999300000.0,2894306,2894306
2013,KY,37859685105,Kentucky,..0,All industry total,1,184920600000.0,4406906,4406906
2013,LA,66214194990,Louisiana,..0,All industry total,1,231652700000.0,4626040,4626040
2013,MA,34361328911,Massachusetts,..0,All industry total,1,452580400000.0,6715158,6715158
2013,MD,26578232050,Maryland,..0,All industry total,1,339895800000.0,5925197,5925197
2013,ME,3540876598,Maine,..0,All industry total,1,54924800000.0,1328543,1328543
2013,MI,118151160358,Michigan,..0,All industry total,1,441470800000.0,9914802,9914802
2013,MN,33022290729,Minnesota,..0,All industry total,1,311752100000.0,5414722,5414722
2013,MO,18514613379,Missouri,..0,All industry total,1,282659700000.0,6042989,6042989
2013,MS,20003507156,Mississippi,..0,All industry total,1,103042600000.0,2989839,2989839
2013,MT,5740599560,Montana,..0,All industry total,1,43584000000.0,1014158,1014158
2013,NC,49847681395,North Carolina,..0,All industry total,1,460946400000.0,9846717,9846717
2013,ND,3601209232,North Dakota,..0,All industry total,1,54877000000.0,723149,723149
2013,NE,3702901016,Nebraska,..0,All industry total,1,107247000000.0,1865813,1865813
2013,NH,11873195932,New Hampshire,..0,All industry total,1,70897400000.0,1327272,1327272
2013,NJ,119251956200,New Jersey,..0,All industry total,1,534212100000.0,8857821,8857821
2013,NM,2016094015,New Mexico,..0,All industry total,1,88773300000.0,2092833,2092833
2013,NV,8582337895,Nevada,..0,All industry total,1,133592500000.0,2776956,2776956
2013,NY,129749760194,New York,..0,All industry total,1,1364632900000.0,19626488,19626488
2013,OH,66418897653,Ohio,..0,All industry total,1,566419900000.0,11579692,11579692
2013,OK,12382689022,Oklahoma,..0,All industry total,1,184104600000.0,3853891,3853891
2013,OR,14344391131,Oregon,..0,All industry total,1,178975400000.0,3924110,3924110
2013,PA,84939713551,Pennsylvania,..0,All industry total,1,670767400000.0,12779538,12779538
2013,RI,9567976963,Rhode Island,..0,All industry total,1,52994200000.0,1055560,1055560
2013,SC,32899404552,South Carolina,..0,All industry total,1,186268300000.0,4766469,4766469
2013,SD,998617334,South Dakota,..0,All industry total,1,45498600000.0,842751,842751
2013,TN,64983470828,Tennessee,..0,All industry total,1,296756300000.0,6496943,6496943
2013,TX,311712674040,Texas,..0,All industry total,1,1526781900000.0,26479646,26479646
2013,UT,10638671617,Utah,..0,All industry total,1,135344299999.99998,2898773,2898773
2013,VA,22383125605,Virginia,..0,All industry total,1,456911600000.0,8255861,8255861
2013,VT,4949229073,Vermont,..0,All industry total,1,29477600000.0,626603,626603
2013,WA,49899971631,Washington,..0,All industry total,1,416924100000.0,6966252,6966252
2013,WI,22223027345,Wisconsin,..0,All industry total,1,283791400000.0,5738012,5738012
2013,WV,3701383884,West Virginia,..0,All industry total,1,71758600000.0,1854768,1854768
2013,WY,2161765008,Wyoming,..0,All industry total,1,39365600000.0,582620,582620
2014,AK,2015583234,Alaska,..0,All industry total,1,56587400000.0,737075,737075
2014,AL,22241800880,Alabama,..0,All industry total,1,197064400000.0,4843737,4843737
2014,AR,7609691584,Arkansas,..0,All industry total,1,117388700000.0,2968759,2968759
2014,AZ,19743566673,Arizona,..0,All industry total,1,286676000000.0,6732873,6732873
2014,CA,403808037836,California,..0,All industry total,1,2342218800000.0,38586706,38586706
2014,CO,14260385495,Colorado,..0,All industry total,1,309223900000.0,5352637,5352637
2014,CT,23918781968,Connecticut,..0,All industry total,1,247114700000.0,3595697,3595697
2014,DE,10739039931,Delaware,..0,All industry total,1,68606000000.0,933131,933131
2014,FL,71850133489,Florida,..0,All industry total,1,860112600000.0,19853880,19853880
2014,GA,83876049321,Georgia,..0,All industry total,1,493370300000.0,10071204,10071204
2014,HI,5329203097,Hawaii,..0,All industry total,1,77043000000.0,1415335,1415335
2014,IA,10087416109,Iowa,..0,All industry total,1,173734200000.0,3110643,3110643
2014,ID,5695597173,Idaho,..0,All industry total,1,64501700000.0,1632248,1632248
2014,IL,140362566219,Illinois,..0,All industry total,1,772291700000.0,12885092,12885092
2014,IN,48901639989,Indiana,..0,All industry total,1,329360900000.0,6596019,6596019
2014,KS,11809335675,Kansas,..0,All industry total,1,150276100000.0,2901861,2901861
2014,KY,39352915989,Kentucky,..0,All industry total,1,188326400000.0,4416992,4416992
2014,LA,57610890848,Louisiana,..0,All industry total,1,240965000000.0,4645938,4645938
2014,MA,34525044406,Massachusetts,..0,All industry total,1,469824900000.0,6764864,6764864
2014,MD,30094208931,Maryland,..0,All industry total,1,351743100000.0,5960064,5960064
2014,ME,3866657330,Maine,..0,All industry total,1,56537400000.0,1331217,1331217
2014,MI,122984138450,Michigan,..0,All industry total,1,456123500000.0,9932033,9932033
2014,MN,34748084109,Minnesota,..0,All industry total,1,324701500000.0,5452665,5452665
2014,MO,18344352592,Missouri,..0,All industry total,1,289340700000.0,6059130,6059130
2014,MS,17286198575,Mississippi,..0,All industry total,1,105219500000.0,2991892,2991892
2014,MT,6238032824,Montana,..0,All industry total,1,45203800000.0,1022657,1022657
2014,NC,52924800727,North Carolina,..0,All industry total,1,482295700000.0,9937295,9937295
2014,ND,3828398175,North Dakota,..0,All industry total,1,61108300000.0,738736,738736
2014,NE,4054670263,Nebraska,..0,All industry total,1,112763300000.0,1879955,1879955
2014,NH,11231545072,New Hampshire,..0,All industry total,1,73455100000.0,1334257,1334257
2014,NJ,126456282187,New Jersey,..0,All industry total,1,543824100000.0,8867277,8867277
2014,NM,2232658341,New Mexico,..0,All industry total,1,92523400000.0,2090236,2090236
2014,NV,7857493711,Nevada,..0,All industry total,1,136918400000.0,2818935,2818935
2014,NY,134674789175,New York,..0,All industry total,1,1434606300000.0,19653431,19653431
2014,OH,70387088348,Ohio,..0,All industry total,1,597152300000.0,11606573,11606573
2014,OK,13626042501,Oklahoma,..0,All industry total,1,197074100000.0,3879187,3879187
2014,OR,13796927797,Oregon,..0,All industry total,1,187837600000.0,3965447,3965447
2014,PA,83202874037,Pennsylvania,..0,All industry total,1,695546600000.0,12792392,12792392
2014,RI,8357036268,Rhode Island,..0,All industry total,1,54612500000.0,1056511,1056511
2014,SC,37804578619,South Carolina,..0,All industry total,1,195744400000.0,4826858,4826858
2014,SD,1042511874,South Dakota,..0,All industry total,1,47159900000.0,849670,849670
2014,TN,69809681665,Tennessee,..0,All industry total,1,307448500000.0,6544617,6544617
2014,TX,302865676194,Texas,..0,All industry total,1,1592177600000.0,26963092,26963092
2014,UT,11131874590,Utah,..0,All industry total,1,142627700000.0,2938327,2938327
2014,VA,24317635849,Virginia,..0,All industry total,1,465601700000.0,8315430,8315430
